,PAÍS,PIB,ILE,IPC,ClassIDH
47,Emirados Árabes Unidos,0.005014,7.28,71,Alto
121,Polônia,0.007092,7.2,58,Alto
122,Portugal,0.002916,7.79,62,Alto
57,França,0.030892000000000003,7.55,69,Alto
56,Finlândia,0.000332,7.92,86,Alto
53,Estônia,0.00037200000000000004,8.11,74,Alto
52,Estados Unidos,0.24918,8.24,69,Alto
51,Espanha,0.015103,7.89,62,Alto
50,Eslovênia,0.000654,7.43,60,Alto
49,Eslováquia,0.0012900000000000001,7.61,50,Alto
125,Reino Unido,0.031943,8.15,77,Alto
99,Malta,1.7e-05,8.03,54,Alto
129,República Tcheca,0.0029690000000000003,7.87,56,Alto
130,Romênia,0.0029,7.88,44,Alto
43,Dinamarca,0.004262,8.17,87,Alto
42,Croácia,0.000736,7.36,47,Alto
61,Geórgia,0.000196,8.26,56,Alto
62,Grécia,0.000264,7.15,48,Alto
117,Panamá,0.000787,7.79,36,Alto
116,Omã,0.000959,6.69,52,Alto
93,Luxemburgo,0.000842,7.84,80,Alto
92,Lituânia,0.0006450000000000001,8.21,60,Alto
88,Letônia,0.00042199999999999996,7.94,56,Alto
85,Kuwait,0.001715,6.72,40,Alto
106,Montenegro,6.6e-05,7.64,45,Alto
83,Japão,0.059455999999999995,7.98,73,Alto
81,Itália,0.022377,7.61,53,Alto
41,Costa Rica,0.000732,7.68,56,Alto
80,Israel,0.0044859999999999995,7.63,60,Alto
78,Irlanda,0.004634,8.21,74,Alto
73,Ilhas Maurício,1.7e-05,8.16,52,Alto
113,Noruega,0.005256,7.72,84,Alto
71,Hungria,0.0019510000000000003,7.53,44,Alto
70,Hong Kong,0.004391,8.91,76,Alto
68,Holanda,0.010731000000000001,7.96,82,Alto
115,Nova Zelândia,0.002459,8.56,87,Alto
79,Islândia,0.000314,7.9,78,Alto
40,Coreia do Sul,0.019212,7.61,59,Alto
96,Malásia,0.004340999999999999,7.52,53,Alto
8,Austrália,0.01616,8.2,77,Alto
4,Arábia Saudita,0.008244,6.85,53,Alto
22,Brunei Darussalam,0.000164,7.3,60,Alto
23,Bulgária,0.000789,7.76,43,Alto
11,Bahamas,0.00015,7.56,64,Alto
