País,PIB,ILE,IPC,IDH
África do Sul,0.004457,6.97,44,0.709
Albânia,0.000182,7.81,35,0.795
Alemanha,0.045774,7.91,80,0.947
Angola,0.001282,5.50,26,0.581
Arábia Saudita,0.008244,6.85,53,0.854
Argélia,0.002103,4.90,35,0.748
Argentina,0.006289,5.50,45,0.845
Armênia,0.000150,8.03,42,0.776
Austrália,0.016160,8.20,77,0.944
Áustria,0.005523,7.86,77,0.922
Azerbaijão,0.000056,6.44,30,0.756
Bahamas,0.000150,7.56,64,0.814
Bahrein,0.000457,7.33,42,0.852
Bangladesh,0.003492,6.05,26,0.632
Barbados,0.000061,6.91,62,0.814
Bélgica,0.006444,7.62,75,0.931
Benin,0.000172,6.62,41,0.545
Bielorrússia,0.000722,6.88,45,0.823
Bolívia,0.000491,6.28,31,0.718
Bósnia,0.000244,6.86,36,0.780
Botsuana,0.000225,7.62,61,0.735
Brasil,0.016512,6.63,35,0.765
Brunei Darussalam,0.000164,7.30,60,0.838
Bulgária,0.000789,7.76,43,0.816
Burkina Faso,0.000171,6.04,40,0.452
Burundi,0.000041,5.65,19,0.433
Butão,0.000031,6.82,68,0.654
Cabo Verde,0.000023,7.65,58,0.665
Camarões,0.000468,5.86,25,0.563
Camboja,0.000295,7.22,20,0.594
Canadá,0.019375,8.06,77,0.929
Catar,0.002316,7.09,62,0.848
Cazaquistão,0.002093,7.52,34,0.825
Chade,0.000133,5.60,20,0.398
Chile,0.000361,7.85,67,0.851
China,0.179930,6.53,41,0.761
Chipre,0.000296,7.89,58,0.887
Colômbia,0.004007,6.82,37,0.767
Comores,0.000014,6.55,25,0.554
Congo,0.000141,5.08,19,0.480
Coreia do Sul,0.019212,7.61,59,0.916
Costa Rica,0.000732,7.68,56,0.810
Croácia,0.000736,7.36,47,0.851
Dinamarca,0.004262,8.17,87,0.940
Djibouti,0.000035,6.68,30,0.524
Egito,0.003021,5.68,35,0.707
El Salvador,0.000315,7.39,34,0.673
Emirados Árabes Unidos,0.005014,7.28,71,0.890
Equador,0.001312,6.68,38,0.759
Eslováquia,0.001290,7.61,50,0.860
Eslovênia,0.000654,7.43,60,0.917
Espanha,0.015103,7.89,62,0.904
Estados Unidos,0.249180,8.24,69,0.926
Estônia,0.000372,8.11,74,0.892
Etiópia,0.000972,5.87,37,0.485
Filipinas,0.000400,7.42,34,0.718
Finlândia,0.000332,7.92,86,0.938
França,0.030892,7.55,69,0.901
Gabão,0.000204,5.80,31,0.703
Gâmbia,0.000019,7.04,37,0.496
Gana,0.000793,6.69,41,0.611
Geórgia,0.000196,8.26,56,0.812
Grécia,0.000264,7.15,48,0.888
Guatemala,0.000949,7.80,26,0.663
Guiana,0.000047,6.52,40,0.682
Guiné,0.000146,5.62,29,0.477
Guiné Bissau,0.000017,6.06,18,0.480
Haiti,0.000116,6.51,18,0.510
Holanda,0.010731,7.96,82,0.944
Honduras,0.000288,7.26,26,0.634
Hong Kong,0.004391,8.91,76,0.949
Hungria,0.001951,7.53,44,0.854
Iêmen,0.000334,5.45,15,0.470
Ilhas Maurício,0.000017,8.16,52,0.804
Índia,0.031390,6.66,41,0.645
Indonésia,0.013182,7.26,40,0.718
Irã,0.005401,5.06,26,0.783
Iraque,0.002714,5.74,20,0.674
Irlanda,0.004634,8.21,74,0.955
Islândia,0.000314,7.90,78,0.949
Israel,0.004486,7.63,60,0.919
Itália,0.022377,7.61,53,0.892
Jamaica,0.000187,7.71,43,0.734
Japão,0.059456,7.98,73,0.919
Jordânia,0.000512,7.59,48,0.729
Kuwait,0.001715,6.72,40,0.806
Laos,0.000021,6.60,29,0.613
Lesoto,0.000032,6.57,40,0.527
Letônia,0.000422,7.94,56,0.866
Líbano,0.000682,6.76,28,0.744
Libéria,0.000039,6.35,28,0.480
Líbia,0.000495,4.79,18,0.724
Lituânia,0.000645,8.21,60,0.882
Luxemburgo,0.000842,7.84,80,0.916
Macedônia do Norte,0.000015,7.13,35,0.774
Madagascar,0.000014,6.33,24,0.528
Malásia,0.004341,7.52,53,0.810
Malawi,0.000083,5.96,31,0.483
Mali,0.000020,5.83,29,0.434
Malta,0.000017,8.03,54,0.895
Marrocos,0.001435,6.69,41,0.686
Mauritânia,0.000063,6.49,28,0.546
México,0.012596,7.20,29,0.779
Moçambique,0.000174,6.15,26,0.456
Moldávia,0.000136,7.30,32,0.750
Mongólia,0.000157,7.38,35,0.737
Montenegro,0.000066,7.64,45,0.829
Myanmar,0.000831,5.94,29,0.583
Namíbia,0.000175,6.76,52,0.646
Nepal,0.000035,6.71,34,0.602
Nicarágua,0.000158,7.04,22,0.660
Níger,0.000112,5.97,32,0.394
Nigéria,0.004821,6.97,26,0.539
Noruega,0.005256,7.72,84,0.957
Nova Guiné,0.000280,6.23,28,0.555
Nova Zelândia,0.002459,8.56,87,0.931
Omã,0.000959,6.69,52,0.813
Panamá,0.000787,7.79,36,0.815
Paquistão,0.003808,5.95,32,0.557
Paraguai,0.000506,7.22,28,0.728
Peru,0.002728,7.78,36,0.777
Polônia,0.007092,7.20,58,0.880
Portugal,0.002916,7.79,62,0.864
Quênia,0.001064,6.94,28,0.601
Quirguizistão,0.000097,7.17,30,0.697
Reino Unido,0.031943,8.15,77,0.932
República Centro-Africana,0.000002,5.36,25,0.397
República Democrática do Congo,0.000570,5.36,18,0.459
República Dominicana,0.000103,7.58,28,0.756
República Tcheca,0.002969,7.87,56,0.900
Romênia,0.002900,7.88,44,0.828
Ruanda,0.000011,7.35,53,0.543
Rússia,0.017726,6.70,28,0.824
Senegal,0.000284,6.25,45,0.512
Serra Leoa,0.000049,6.15,33,0.452
Sérvia,0.000611,7.22,39,0.806
Singapura,0.004408,8.81,85,0.938
Síria,0.000341,5.19,13,0.567
Sri Lanka,0.001076,6.78,38,0.782
Sudão,0.000415,4.19,16,0.510
Suécia,0.006732,7.72,85,0.945
Suíça,0.008570,8.48,85,0.955
Suriname,0.000041,6.14,44,0.738
Tailândia,0.006113,6.87,36,0.777
Tajiquistão,0.000009,6.50,25,0.668
Tanzânia,0.000688,6.75,37,0.529
Timor Leste,0.000033,6.19,38,0.606
Trinidad e Tobago,0.000272,7.27,40,0.796
Tunísia,0.000483,5.97,43,0.740
Ucrânia,0.001584,6.20,30,0.779
Uganda,0.000340,7.42,28,0.544
Uruguai,0.000722,7.36,71,0.817
Venezuela,0.001191,2.83,16,0.711
Vietnã,0.002921,6.26,37,0.704
Zâmbia,0.000032,7.09,34,0.584
Zimbábue,0.000254,4.94,24,0.571
