Countries, Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation,Corruption Perceptions Index,Human Development Index
Albania,4.19,4.07,3.84,8.33,5.40,3.91,6.72,5.61,1.00,5.26,9.57,0.64,9.28,3.60,8.08,4.79,8.98,6.81,9.41,8.11,10.00,4.17,4.62,8.63,5.80,8.22,10.00,3.77,10.00,7.92,5.57,4.87,5.58,8.00,6.30,10.00,6.72,5.65,6.00,9.74,6.00,5.62,7.18,6.70,7.11,36,0.796
Algeria,4.09,4.04,5.13,3.33,4.79,4.39,6.63,6.35,0.71,4.13,8.48,2.28,6.22,18.90,5.92,10.21,6.87,4.56,0.48,2.52,4.36,1.64,0.77,0.00,0.80,3.64,0.00,8.01,10.00,6.00,5.57,5.03,6.52,6.00,7.76,3.00,5.65,4.22,2.22,9.31,2.58,8.77,7.03,5.69,5.78,36,0.745
Angola,4.06,3.39,3.74,4.17,4.50,2.30,5.52,3.81,0.88,3.71,9.39,0.91,7.96,10.20,4.00,14.99,7.12,4.70,2.51,3.60,10.00,0.00,2.31,0.00,0.77,5.37,5.00,8.94,9.00,7.65,10.00,4.43,6.97,4.00,6.63,0.00,5.34,2.94,3.11,8.73,4.70,7.92,6.78,5.70,6.23,27,0.586
Argentina,4.73,4.03,4.58,7.50,4.84,3.82,6.86,4.41,0.88,4.80,4.93,7.61,7.32,13.40,5.87,10.32,6.04,5.07,5.65,5.36,0.00,2.84,0.00,0.00,0.95,3.09,5.00,5.38,5.00,5.13,2.77,2.24,3.19,10.00,2.52,10.00,5.12,2.71,5.56,9.58,7.27,5.73,6.51,6.23,5.49,42,0.842
Armenia,4.69,5.54,6.37,5.83,5.77,5.20,9.82,6.67,1.00,6.24,8.94,1.59,8.76,6.20,7.59,6.01,8.43,5.69,9.32,7.50,10.00,8.36,6.15,0.00,4.84,7.69,10.00,9.05,10.00,9.68,6.67,5.60,7.25,10.00,9.25,0.00,6.46,5.17,5.11,9.86,6.26,9.30,7.04,7.12,7.76,49,0.759
Australia,8.44,7.57,8.45,10.00,8.92,6.76,8.14,8.42,1.00,8.34,8.51,2.24,9.52,2.40,9.05,2.38,9.03,7.12,8.43,7.78,10.00,10.00,4.62,0.00,4.87,7.92,10.00,6.39,10.00,8.80,8.90,3.91,6.08,10.00,7.93,10.00,7.80,3.98,8.00,9.93,9.64,8.95,8.82,8.22,8.27,77,0.951
Austria,7.82,7.79,8.62,10.00,9.21,6.99,8.10,8.60,1.00,8.39,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.66,9.98,8.32,10.00,10.00,3.08,5.00,6.03,8.09,8.00,6.82,10.00,8.27,8.90,4.78,2.49,6.00,10.00,3.00,5.86,4.47,6.00,9.24,9.28,7.30,8.53,7.47,7.20,76,0.916
Azerbaijan,4.02,3.58,6.81,5.00,4.13,7.25,7.61,7.60,0.82,5.24,8.73,1.91,8.26,8.70,5.65,10.88,7.55,6.63,8.20,7.42,10.00,4.64,4.62,0.00,3.09,7.01,5.00,7.32,9.00,7.11,8.33,7.25,8.18,6.00,8.50,1.00,6.54,7.21,6.22,9.88,2.82,9.02,8.22,7.23,6.96,30,0.745
Bahamas,7.15,5.12,,10.00,6.67,4.60,3.82,,1.00,6.23,4.53,8.20,3.50,32.50,1.55,21.13,3.19,6.71,8.11,7.41,10.00,0.00,0.77,0.00,0.26,5.22,10.00,5.35,10.00,8.45,8.90,,,8.00,6.55,10.00,8.36,,5.78,9.52,,7.98,8.26,7.88,8.23,63,0.812
Bahrain,5.37,5.10,7.84,5.00,5.00,4.79,9.40,8.95,0.53,4.92,9.71,0.44,9.04,4.80,6.37,9.07,8.37,6.81,6.67,6.74,10.00,10.00,6.15,7.63,7.93,8.26,10.00,2.83,10.00,7.61,8.33,5.98,8.06,8.00,7.03,10.00,7.90,6.06,7.56,9.71,2.41,9.76,9.75,7.54,7.68,42,0.875
