countries,judicial independence,impartial courts,protection of property rights,military interference in rule of law and politics,integrity of the legal system,legal enforcement of contracts,regulatory restrictions on the sale of real property,reliability of police,gender legal rights adjustment,legal system & property rights,revenue from trade taxes (% of trade sector),mean tariff rate,standard deviation of tariff rates,tariffs,non-tariff trade barriers,compliance costs of importing and exporting,regulatory trade barriers,black market exchange rates,financial openness,capital controls,freedom of foreigners to visit,controls of the movement of capital and people,freedom to trade internationally,ownership of banks,private sector credit,interest rate controls/negative real interest rates),credit market regulations,hiring regulations and minimum wage,hiring and firing regulations,centralized collective bargaining,hours regulations,mandated cost of worker dismissal,conscription,labor market regulations,administrative requirements,regulatory burden,starting a business,impartial public administration,licensing restrictions,tax compliance,business regulations,regulation,corruption perceptions index,human development index,categories
Albania,4.19,4.07,3.84,8.33,5.4,3.91,6.72,5.61,1.0,5.26,9.57,9.28,8.08,8.98,6.81,9.41,8.11,10.0,4.17,4.62,8.63,5.8,8.22,10.0,3.77,10.0,7.92,5.57,4.87,5.58,8.0,6.3,10.0,6.72,5.65,6.0,9.74,6.0,5.62,7.18,6.7,7.11,36.0,0.796,high
Algeria,4.09,4.04,5.13,3.33,4.79,4.39,6.63,6.35,0.71,4.13,8.48,6.22,5.92,6.87,4.56,0.48,2.52,4.36,1.64,0.77,0.0,0.8,3.64,0.0,8.01,10.0,6.0,5.57,5.03,6.52,6.0,7.76,3.0,5.65,4.22,2.22,9.31,2.58,8.77,7.03,5.69,5.78,36.0,0.745,high
Angola,4.06,3.39,3.74,4.17,4.5,2.3,5.52,3.81,0.88,3.71,9.39,7.96,4.0,7.12,4.7,2.51,3.6,10.0,0.0,2.31,0.0,0.77,5.37,5.0,8.94,9.0,7.65,10.0,4.43,6.97,4.0,6.63,0.0,5.34,2.94,3.11,8.73,4.7,7.92,6.78,5.7,6.23,27.0,0.586,medium
Argentina,4.73,4.03,4.58,7.5,4.84,3.82,6.86,4.41,0.88,4.8,4.93,7.32,5.87,6.04,5.07,5.65,5.36,0.0,2.84,0.0,0.0,0.95,3.09,5.0,5.38,5.0,5.13,2.77,2.24,3.19,10.0,2.52,10.0,5.12,2.71,5.56,9.58,7.27,5.73,6.51,6.23,5.49,42.0,0.842,very_high
Armenia,4.69,5.54,6.37,5.83,5.77,5.2,9.82,6.67,1.0,6.24,8.94,8.76,7.59,8.43,5.69,9.32,7.5,10.0,8.36,6.15,0.0,4.84,7.69,10.0,9.05,10.0,9.68,6.67,5.6,7.25,10.0,9.25,0.0,6.46,5.17,5.11,9.86,6.26,9.3,7.04,7.12,7.76,49.0,0.759,high
Australia,8.44,7.57,8.45,10.0,8.92,6.76,8.14,8.42,1.0,8.34,8.51,9.52,9.05,9.03,7.12,8.43,7.78,10.0,10.0,4.62,0.0,4.87,7.92,10.0,6.39,10.0,8.8,8.9,3.91,6.08,10.0,7.93,10.0,7.8,3.98,8.0,9.93,9.64,8.95,8.82,8.22,8.27,77.0,0.951,very_high
Austria,7.82,7.79,8.62,10.0,9.21,6.99,8.1,8.6,1.0,8.39,8.6,8.98,6.51,8.03,6.66,9.98,8.32,10.0,10.0,3.08,5.0,6.03,8.09,8.0,6.82,10.0,8.27,8.9,4.78,2.49,6.0,10.0,3.0,5.86,4.47,6.0,9.24,9.28,7.3,8.53,7.47,7.2,76.0,0.916,very_high
Azerbaijan,4.02,3.58,6.81,5.0,4.13,7.25,7.61,7.6,0.82,5.24,8.73,8.26,5.65,7.55,6.63,8.2,7.42,10.0,4.64,4.62,0.0,3.09,7.01,5.0,7.32,9.0,7.11,8.33,7.25,8.18,6.0,8.5,1.0,6.54,7.21,6.22,9.88,2.82,9.02,8.22,7.23,6.96,30.0,0.745,high
Bahamas,7.15,5.12,5.52,10.0,6.67,4.6,3.82,5.6,1.0,6.23,4.53,3.5,1.55,3.19,6.71,8.11,7.41,10.0,0.0,0.77,0.0,0.26,5.22,10.0,5.35,10.0,8.45,8.9,4.75,6.45,8.0,6.55,10.0,8.36,4.14,5.78,9.52,5.67,7.98,8.26,7.88,8.23,63.0,0.812,very_high
Bahrain,5.37,5.1,7.84,5.0,5.0,4.79,9.4,8.95,0.53,4.92,9.71,9.04,6.37,8.37,6.81,6.67,6.74,10.0,10.0,6.15,7.63,7.93,8.26,10.0,2.83,10.0,7.61,8.33,5.98,8.06,8.0,7.03,10.0,7.9,6.06,7.56,9.71,2.41,9.76,9.75,7.54,7.68,42.0,0.875,very_high
Bangladesh,3.15,3.6,4.31,4.17,3.29,0.94,2.67,4.18,0.76,2.9,5.55,7.2,6.25,6.33,5.63,0.0,2.82,10.0,1.64,0.0,0.0,0.55,4.92,5.0,8.45,10.0,7.82,10.0,4.69,6.28,10.0,1.37,10.0,7.05,3.88,2.67,9.28,1.38,6.45,5.12,4.8,6.56,26.0,0.661,medium
Barbados,7.22,5.38,5.85,6.4,7.74,3.8,7.58,6.4,0.88,5.91,8.01,7.86,5.63,7.17,6.56,6.16,6.36,10.0,1.64,0.0,0.0,0.55,6.02,8.0,10.0,10.0,9.33,8.9,2.99,6.37,8.0,5.68,10.0,6.99,3.26,6.89,9.41,7.44,5.0,7.3,6.55,7.62,64.0,0.79,high
Belarus,3.69,5.11,5.52,5.0,4.22,6.97,9.91,5.6,0.88,5.47,8.45,8.64,6.57,7.89,6.15,9.7,7.93,10.0,1.64,1.54,7.01,3.4,7.3,2.0,8.97,9.0,6.66,10.0,4.75,6.45,10.0,7.76,1.0,7.19,4.14,6.0,9.72,3.32,8.34,8.09,7.1,6.98,47.0,0.808,very_high
Belgium,7.72,7.24,7.86,10.0,8.27,6.53,4.9,7.6,1.0,7.52,8.6,8.98,6.51,8.03,5.64,9.98,7.81,10.0,10.0,3.85,5.0,6.28,8.03,8.0,6.24,10.0,8.08,8.9,3.75,5.85,6.0,10.0,10.0,7.42,3.5,7.78,9.78,9.53,7.46,8.48,7.75,7.75,76.0,0.937,very_high
Belize,6.79,3.69,7.39,6.4,4.35,3.33,7.29,3.33,0.88,4.99,7.47,7.62,4.15,6.41,4.27,6.09,5.18,10.0,1.64,0.0,0.0,0.55,5.54,10.0,4.61,10.0,8.2,7.77,4.97,7.99,8.0,6.55,10.0,7.55,3.72,4.67,8.1,5.67,8.6,8.35,6.69,7.48,44.18,0.683,medium
Benin,5.45,4.95,4.87,6.4,6.01,2.05,6.61,6.67,0.82,4.77,5.84,7.58,7.05,6.82,5.13,5.16,5.15,10.0,1.64,0.77,0.0,0.8,5.69,10.0,9.75,5.0,8.25,7.77,6.13,7.6,8.0,7.57,1.0,6.34,4.54,4.22,9.68,7.88,9.48,6.97,7.13,7.24,41.0,0.525,low
Bhutan,6.5,6.62,6.16,6.4,7.45,7.37,6.9,2.46,0.94,6.03,9.2,5.58,4.25,6.34,4.92,9.5,7.21,10.0,1.64,0.0,0.0,0.55,6.03,5.0,9.39,9.0,7.8,10.0,2.01,5.63,10.0,10.0,10.0,7.94,2.54,4.22,9.58,8.23,8.47,9.42,7.08,7.6,68.0,0.666,medium
Bolivia,3.13,2.5,3.23,4.17,4.04,4.49,6.75,2.72,1.0,3.88,9.24,7.64,6.22,7.7,4.95,3.05,4.0,10.0,4.48,4.62,0.0,3.03,6.18,8.0,4.92,10.0,7.64,1.1,2.05,5.01,8.0,6.52,3.0,3.83,1.85,3.11,8.34,4.9,7.08,0.0,4.22,5.23,31.0,0.692,medium
Bosnia and Herzegovina,4.13,3.46,3.75,6.4,4.44,3.79,7.66,4.5,0.88,4.27,9.87,8.74,6.62,8.41,6.19,9.59,7.89,10.0,1.64,3.08,3.34,2.69,7.25,10.0,7.39,10.0,9.13,5.57,3.11,7.08,10.0,7.51,10.0,7.21,1.84,4.89,7.26,2.62,7.95,5.39,4.99,7.11,35.0,0.78,high
Botswana,6.8,6.36,6.52,8.33,6.68,3.07,7.81,6.3,0.88,6.1,3.0,8.46,5.53,5.66,5.32,9.4,7.36,10.0,10.0,5.38,0.0,5.13,7.04,8.0,6.35,10.0,8.12,10.0,4.96,5.76,10.0,3.78,10.0,7.42,4.15,6.67,8.46,8.28,9.26,8.65,7.58,7.7,60.0,0.693,medium
Brazil,5.29,4.68,4.89,5.83,5.18,3.33,8.24,3.85,1.0,5.16,8.73,7.34,6.12,7.4,4.04,7.87,5.95,10.0,1.64,2.31,0.0,1.32,6.17,5.0,1.09,7.0,4.36,2.23,2.93,5.48,6.0,7.13,3.0,4.46,1.14,6.22,9.42,5.2,5.4,0.0,4.56,4.46,38.0,0.754,high
Brunei Darussalam,5.63,5.25,5.53,8.33,6.67,4.17,4.8,6.47,0.71,5.0,8.29,9.96,9.32,9.64,5.1,2.34,3.72,10.0,5.54,6.15,0.0,3.08,6.61,7.6,8.67,10.0,9.33,10.0,4.91,7.82,10.0,10.0,10.0,8.79,3.89,8.44,9.81,5.67,9.56,9.41,8.22,8.78,60.0,0.829,very_high
Bulgaria,5.61,4.71,4.86,8.33,5.6,5.08,8.72,4.76,1.0,5.96,8.6,8.98,6.51,8.03,5.42,9.85,7.64,10.0,6.88,4.62,6.45,5.98,7.91,10.0,9.62,10.0,9.87,5.57,5.04,7.18,6.0,9.25,10.0,7.17,4.52,5.56,9.25,5.94,9.33,5.06,6.61,7.89,44.0,0.795,high
Burkina Faso,5.02,3.8,4.62,3.33,6.25,2.14,4.82,5.72,0.82,4.07,7.69,7.58,7.05,7.44,5.43,3.6,4.52,10.0,1.64,0.77,0.0,0.8,5.69,10.0,7.86,4.0,7.29,6.67,4.6,6.87,6.0,7.94,10.0,7.01,3.77,4.22,9.11,6.22,8.93,6.97,6.54,6.95,40.0,0.449,low
Burundi,3.74,3.34,4.31,6.4,3.28,2.81,8.55,5.37,0.82,4.09,8.07,7.44,5.14,6.88,4.55,1.14,2.84,1.72,0.0,1.54,0.0,0.51,2.99,5.0,0.0,10.0,5.0,10.0,5.12,7.45,8.0,7.76,10.0,8.05,4.91,2.44,9.71,3.55,9.76,7.4,6.3,6.45,19.0,0.426,low
Cabo Verde,6.55,5.8,5.44,6.4,7.43,6.06,8.92,5.55,1.0,6.54,7.64,7.96,4.74,6.78,5.11,6.66,5.88,10.0,8.8,9.23,0.0,6.01,7.17,10.0,7.31,10.0,9.1,3.9,4.66,6.65,8.0,5.07,1.0,4.88,4.53,6.44,9.58,6.4,9.27,7.98,7.37,7.12,58.0,0.662,medium
Cambodia,3.2,3.11,4.5,6.4,1.98,1.82,7.55,3.73,1.0,3.7,8.88,7.92,6.67,7.82,5.66,4.0,4.83,10.0,10.0,5.38,0.0,5.13,6.94,7.6,8.76,9.0,8.88,6.67,5.07,5.72,10.0,6.3,5.0,6.46,4.27,5.11,6.04,2.32,4.99,8.06,5.13,6.82,21.0,0.593,medium
Cameroon,3.49,3.09,4.29,4.17,3.76,2.17,3.97,5.07,0.47,2.76,7.0,6.36,6.29,6.55,5.32,0.0,2.66,10.0,1.64,1.54,0.0,1.06,5.07,5.0,7.54,10.0,7.51,7.23,4.79,6.63,8.0,7.01,10.0,7.28,4.23,3.56,9.27,1.78,8.83,3.01,5.11,6.63,25.0,0.576,medium
Canada,7.67,7.84,7.72,10.0,8.51,5.82,8.68,7.92,1.0,8.02,9.8,9.22,2.56,7.19,5.94,9.89,7.91,10.0,10.0,7.69,0.0,5.9,7.75,10.0,4.23,10.0,8.08,8.9,6.09,7.24,8.0,8.27,10.0,8.08,4.83,7.56,9.95,8.55,6.85,8.53,7.71,7.96,77.0,0.936,very_high
Central African Republic,5.88,2.24,3.92,6.4,3.08,0.51,4.97,5.6,0.76,3.03,6.29,6.4,6.18,6.29,3.28,2.28,2.78,10.0,1.64,1.54,0.0,1.06,5.03,5.0,10.0,10.0,8.33,0.0,4.75,6.45,6.0,7.01,0.0,3.25,4.14,0.67,7.84,2.13,7.31,4.59,4.5,5.36,26.0,0.404,low
Chad,3.16,2.92,3.57,6.4,2.7,2.22,6.79,3.3,0.53,2.69,8.29,6.42,6.21,6.31,3.92,0.77,2.35,10.0,1.64,1.54,0.0,1.06,4.93,2.0,10.0,10.0,7.33,5.0,4.2,6.1,6.0,7.94,3.0,5.37,3.64,0.89,6.28,0.95,7.2,0.65,3.27,5.33,21.0,0.394,low
Chile,7.54,6.87,7.16,7.5,7.26,5.37,9.1,7.79,0.82,6.68,9.79,8.8,9.83,9.48,7.01,6.83,6.92,10.0,7.0,2.31,0.0,3.1,7.37,8.0,8.58,7.0,7.86,5.57,3.44,8.3,10.0,2.52,0.0,4.97,4.02,7.33,9.84,7.46,7.74,6.68,7.18,6.67,67.0,0.855,very_high
China,4.28,4.96,5.96,5.0,4.29,4.75,8.32,5.98,0.88,5.12,9.44,8.5,7.51,8.48,5.81,8.64,7.22,10.0,1.64,0.0,0.0,0.55,6.56,2.0,7.49,10.0,6.5,8.9,5.77,6.05,10.0,2.52,0.0,5.54,5.63,3.56,9.71,3.69,9.11,8.45,6.69,6.24,42.0,0.768,high
Colombia,5.45,4.75,5.13,4.17,4.61,3.11,9.06,4.33,0.94,4.93,9.27,8.84,6.36,8.16,4.77,3.89,4.33,8.62,4.17,2.31,0.0,2.16,5.82,10.0,4.95,10.0,8.32,8.9,3.67,6.67,10.0,4.82,1.0,5.84,2.8,6.0,9.53,4.86,8.75,7.14,6.51,6.89,39.0,0.752,high
Comoros,5.08,2.08,4.33,6.4,5.0,1.65,6.93,5.6,0.71,3.56,8.29,6.84,0.0,3.42,5.65,6.37,6.37,10.0,1.64,4.17,10.0,5.27,6.26,7.6,7.83,10.0,8.91,6.67,4.75,6.45,6.0,8.32,10.0,7.75,4.14,2.0,8.86,4.42,9.17,8.88,6.67,7.78,21.0,0.558,medium
"Congo, Dem. Rep.",3.49,2.33,3.25,2.5,2.82,0.97,5.96,3.15,0.76,2.7,9.11,7.8,7.58,8.16,5.09,0.0,2.55,10.0,1.64,0.77,0.0,0.8,5.38,0.0,9.06,8.0,5.69,1.67,3.94,6.33,8.0,10.0,3.0,5.49,3.2,0.0,9.59,2.54,8.9,6.12,5.06,5.41,18.0,0.479,low
